id,rtti_name,short_name,vtable_rva
259,MissionOfferUpdatedEvent,missionofferupdated,0x2ba7fd8
260,MissionRemovedEvent,missionremoved,0x2c76360
261,MoneyUpdatedEvent,moneyupdated,0x2ba7ef8
262,MovedIntoInternalStorageEvent,movedintointernalstorage,0x2ba9ba0
263,NavBeaconLaunchedEvent,navbeaconlaunched,0x2ba8dd8
264,NavHelperGeneratedEvent,navhelpergenerated,0x2baf4c8
265,NavHelperRegeneratedEvent,navhelperregenerated,0x2baf570
266,NotificationFreedEvent,notificationfreed,0x2a852b0
267,NPCCreatedEvent,npccreated,0x2baa930
268,NPCFinishWalkEvent,npcfinishwalk,0x2baa888
269,NPCSlotsValidatedEvent,npcslotsvalidated,0x2ba6bf0
270,NPCWalkFinishedEvent,npcwalkfinished,0x2b48c10
271,ObjectAbandonedEvent,objectabandoned,0x2ac1518
272,ObjectChangedOwnerEvent,objectchangedowner,0x2ba9510
273,ObjectChangedStateEvent,objectchangedstate,0x2ba94d8
274,ObjectChangedStateInLiveViewEvent,objectchangedstateinliveview,0x2ba6fe0
275,ObjectChangedTrueOwnerEvent,objectchangedtrueowner,0x2ba93c0
276,ObjectCollidedEvent,objectcollided,0x2ba7210
277,ObjectCommanderSetEvent,objectcommanderset,0x2ba8ac8
278,ObjectDefenceDroneModeChangedEvent,objectdefencedronemodechanged,0x2ba8390
279,ObjectDefenceDronesArmedEvent,objectdefencedronesarmed,0x2ae9770
280,ObjectDefenceDronesDisarmedEvent,objectdefencedronesdisarmed,0x2ae97a8
281,ObjectDockAssignedEvent,objectdockassigned,0x2ba9318
282,ObjectDockedEvent,objectdocked,0x2ba9388
283,ObjectDockingStartedEvent,objectdockingstarted,0x2ba9430
284,ObjectDockUnassignedEvent,objectdockunassigned,0x2ba8b00
285,ObjectEnteredEvent,objectentered,0x2ba94a0
286,ObjectEnteredLiveViewEvent,objectenteredliveview,0x2bafa08
287,ObjectEnteredPlayerViewEvent,objectenteredplayerview,0x2baf5e0
288,ObjectLaunchedCountermeasureEvent,objectlaunchedcountermeasure,0x2ba8ef0
289,ObjectLaunchedDistressDroneEvent,objectlauncheddistressdrone,0x2ba8c50
290,ObjectLaunchedLaserTowerEvent,objectlaunchedlasertower,0x2ba8da0
291,ObjectLaunchedMineEvent,objectlaunchedmine,0x2ba8e10
292,ObjectLaunchedNavBeaconEvent,objectlaunchednavbeacon,0x2ba8cc0
293,ObjectLaunchedResourceProbeEvent,objectlaunchedresourceprobe,0x2ba8d30
294,ObjectLaunchedSatelliteEvent,objectlaunchedsatellite,0x2ba8be0
295,ObjectLeftEvent,objectleft,0x2ba9468
296,ObjectLeftLiveViewEvent,objectleftliveview,0x2baf9d0
297,ObjectLeftPlayerViewEvent,objectleftplayerview,0x2baf5a8
298,ObjectMiningDroneModeChangedEvent,objectminingdronemodechanged,0x2ba8358
299,ObjectMiningDronesArmedEvent,objectminingdronesarmed,0x2ae9850
300,ObjectMiningDronesDisarmedEvent,objectminingdronesdisarmed,0x2ae9888
301,ObjectMovedIntoInternalStorageEvent,objectmovedintointernalstorage,0x2ba9b68
302,ObjectOpenedLockboxEvent,objectopenedlockbox,0x2ba6020
303,ObjectPickedUpEvent,objectpickedup,0x2baa150
304,ObjectRelationRangeChangedEvent,objectrelationrangechanged,0x2ba87f0
305,ObjectRetrievedFromInternalStorageEvent,objectretrievedfrominternalstorage,0x2ba9bd8
306,ObjectSignalledEvent,objectsignalled,0x2ba7018
307,ObjectTransportDroneModeChangedEvent,objecttransportdronemodechanged,0x2ba8240
308,ObjectTransportDronesArmedEvent,objecttransportdronesarmed,0x2ae98c0
309,ObjectTransportDronesDisarmedEvent,objecttransportdronesdisarmed,0x2ae98f8
310,ObjectTriggeredEvent,objecttriggered,0x2ba72b8
311,ObjectUndockedEvent,objectundocked,0x2ba93f8
312,ObjectUndockingStartedEvent,objectundockingstarted,0x2ba92e0
313,ObjectWeaponModeChangedEvent,objectweaponmodechanged,0x2ba8208
314,ObservationStartedEvent,observationstarted,0x2ba7590
315,ObservationStoppedEvent,observationstopped,0x2ba7638
316,OnlineMissionOfferRequestedEvent,onlinemissionofferrequested,0x2ba5b88
317,OnlineOperationUpdatedEvent,onlineoperationupdated,0x2a34d08
318,OpenLockboxEvent,openlockbox,0x2ba5f08
319,OpenScenarioSelectionMenuEvent,openscenarioselectionmenu,0x2ba5d48
320,OutOfAmmoEvent,outofammo,0x2ba9d28
321,OxygenEmptyEvent,oxygenempty,0x2b8a4b8
322,OxygenLowEvent,oxygenlow,0x2ba66e8
323,PaidBuildPlotChangedEvent,paidbuildplotchanged,0x2baafc0
324,PauseEvent,pause,0x2bafb90
325,PerformTransporterTransitionEvent,performtransportertransition,0x2baa770
326,PhaseStartedEvent,phasestarted,0x2ba59c8
327,PhysicalChildAddedEvent,physicalchildadded,0x2ba8a58
328,PhysicalChildChangedSizeEvent,physicalchildchangedsize,0x2ba8940
329,PhysicalChildRemovedEvent,physicalchildremoved,0x2ba8908
330,PickedUpObjectEvent,pickedupobject,0x2baa1f8
331,PlatformActorCreatedEvent,platformactorcreated,0x2ba75c8
332,PlatformTriggerActivatedEvent,platformtriggeractivated,0x2ba6c60
333,PlatformTriggerDeactivatedEvent,platformtriggerdeactivated,0x2ba6b48
334,PlatformTriggerUnlockedEvent,platformtriggerunlocked,0x2ba6c98
335,PlayAmmunitionReloadFinishedSoundEvent,playammunitionreloadfinishedsound,0x2b8a448
336,PlayerAlertEvent,playeralert,0x2ba6ec8
337,PlayerBlueprintAddedEvent,playerblueprintadded,0x2ba9d60
338,PlayerBuildTaskAddedEvent,playerbuildtaskadded,0x2baa5b0
339,PlayerCameraModeChangedEvent,playercameramodechanged,0x2b9e928
340,PlayerChangedTargetEvent,playerchangedtarget,0x2ba6f38
341,PlayerCraftedAmmoEvent,playercraftedammo,0x2baa348
342,PlayerCreatedEvent,playercreated,0x2b48ba0
343,PlayerDetectedObjectEvent,playerdetectedobject,0x2baac78
344,PlayerDiscoveredComponentEvent,playerdiscoveredcomponent,0x2baabd0
345,PlayerDiscoveredMissionOfferEvent,playerdiscoveredmissionoffer,0x2baac08
346,PlayerHackedObjectEvent,playerhackedobject,0x2ba7c58
347,PlayerInteractionEvent,playerinteraction,0x2ba90e8
348,PlayerInterfaceUpdatedEvent,playerinterfaceupdated,0x2b48c48
349,PlayerOwnedObjectAttackedObjectEvent,playerownedobjectattackedobject,0x2ba95f0
350,PlayerOwnedObjectCollectedResourceEvent,playerownedobjectcollectedresource,0x2baa3b8
351,PlayerOwnedObjectDroppedObjectEvent,playerownedobjectdroppedobject,0x2ba6f70
352,PlayerOwnedObjectKilledObjectEvent,playerownedobjectkilledobject,0x2baacb0
353,PlayerOwnedObjectKilledEvent,playerownedobjectwaskilled,0x2baace8
354,PlayerPriceModifierAddedEvent,playerpricemodifieradded,0x2ba9eb0
355,PlayerPriceModifiersUpdatedEvent,playerpricemodifiersupdated,0x2b48c80
356,PlayerResearchAddedEvent,playerresearchadded,0x2ba9e78
357,PlayerShipHitEvent,playershiphit,0x2ba95b8
358,PlayerTradeDiscoveredEvent,playertradediscovered,0x2baac40
359,PlayerVisibleRoomAddedEvent,playervisibleroomadded,0x2ba6790
