id,rtti_name,short_name,vtable_rva
16,AirlockCycledEvent,airlockcycled,0x2ba5e28
17,AlertLevelChangedEvent,alertlevelchanged,0x2ba8128
18,AmmoChangedEvent,ammochanged,0x2ba5fe8
19,AnimationTickedEvent,animationticked,0x2c80470
20,AnimationTimerExpiredEvent,animationtimerexpired,0x2bafb20
21,ApproachingWaypointEvent,approachingwaypoint,0x2ba9238
22,AreaDamageTriggeredEvent,areadamagetriggered,0x2ba5d10
23,AreaDamageRangeRequestedEvent,areadamagerangerequested,0x2baf500
24,ArrivedAtWaypointEvent,arrivedatwaypoint,0x2baf7a0
25,AssignHiredActorEvent,assignhiredactor,0x2ba5f40
26,AttachBombEvent,attachbomb,0x2b8a598
27,AttachmentEnteredEvent,attachmententered,0x2ba6a68
28,AttachmentLeftEvent,attachmentleft,0x2ba6a30
29,AttachShipToDockEvent,attachshiptodock,0x2ba9cf0
30,AttackedEvent,attacked,0x2ba9580
31,AttackedComponentEvent,attackedcomponent,0x2ba9548
32,AttackStartedEvent,attackstarted,0x2ba7600
33,AttackStoppedEvent,attackstopped,0x2ba74e8
34,AutoPilotDeactivatedEvent,autopilotdeactivated,0x2b32888
35,AutoPilotTargetSetEvent,autopilottargetset,0x2ba6de8
36,BecameFormationLeaderEvent,becameformationleader,0x2baf6f8
37,BecameFormationWingmanEvent,becameformationwingman,0x2baf6c0
38,BoardingOperationAbortedEvent,boardingoperationaborted,0x2ba7408
39,BoardingOperationCreatedEvent,boardingoperationcreated,0x2ba7558
40,BoardingOperationRemovedEvent,boardingoperationremoved,0x2ba73d0
41,BoardingOperationStartedEvent,boardingoperationstarted,0x2ba7520
42,BoardingPhaseChangedEvent,boardingphasechanged,0x2ba7478
43,BoardingSupportFailedEvent,boardingsupportfailed,0x2baf998
44,BoardingSupportRequestedEvent,boardingsupportrequested,0x2ba7a28
45,BoardingSupportSucceededEvent,boardingsupportsucceeded,0x2baf960
46,BoardingTriggeredEvent,boardingtriggered,0x2ba7440
47,BombAttachedEvent,bombattached,0x2bab1b8
48,BombDefusedEvent,bombdefused,0x2bab260
49,BoostChargeFinishedEvent,boostchargefinished,0x2ae9a48
50,BoostChargeStartedEvent,boostchargestarted,0x2ae9b28
51,BoostChargeAbortedEvent,boostchargestopped,0x2ae9a80
52,BoostDisabledEvent,boostdisabled,0x2bafd50
53,BoostStartedEvent,booststarted,0x2ae9ab8
54,BoostStoppedEvent,booststopped,0x2ae9af0
55,BuildCancelledEvent,buildcancelled,0x2baa6c8
56,BuildFinishedEvent,buildfinished,0x2baae70
57,BuildFinishedComponentsEvent,buildfinishedcomponents,0x2baae38
58,BuildPausedEvent,buildpaused,0x2baaea8
59,BuildPlotChangedEvent,buildplotchanged,0x2baaf18
60,BuildResumedEvent,buildresumed,0x2baaee0
61,BuildStartedEvent,buildstarted,0x2baaf88
62,BuildStorageMovedEvent,buildstoragemoved,0x2ac16d8
63,BuildTaskAddedEvent,buildtaskadded,0x2baa5e8
64,BuildTaskLoadoutAppliedEvent,buildtaskloadoutapplied,0x2baa700
65,CameraEnteredEvent,cameraentered,0x2bafce0
66,CameraLeftEvent,cameraleft,0x2bafca8
67,CeaseFireEvent,ceasefire,0x2ba9dd0
68,ChangedAdjacentZoneAttentionEvent,changedadjacentzoneattention,0x2ac1748
69,ChangedAssignmentEvent,changedassignment,0x2ba8b70
70,ChangedAttentionEvent,changedattention,0x2ba8160
71,ChangedClusterEvent,changedcluster,0x2ba9af8
72,ChangeDefenceDroneModeEvent,changedefencedronemode,0x2ba8438
73,ChangedEnvironmentObjectEvent,changedenvironmentobject,0x2ba99e0
74,ChangedHiddenStateEvent,changedhiddenstate,0x2ba89e8
75,ChangedHighwaySectionEvent,changedhighwaysection,0x2b18578
76,ChangedNameEvent,changedname,0x2ba99a8
77,ChangedObjectEvent,changedobject,0x2ba9820
78,ChangedOwnerEvent,changedowner,0x2ba9a50
79,ChangedOwnershipContestedEvent,changedownershipcontested,0x2ba9200
80,ChangedPlayerActivityEvent,changedplayeractivity,0x2b48d60
81,ChangedRoomEvent,changedroom,0x2ba9938
82,ChangedSceneEvent,changedscene,0x2ba9ac0
83,ChangedSectorEvent,changedsector,0x2ba9b30
84,ChangedStateEvent,changedstate,0x2ba8a20
85,ChangedSubordinateGroupEvent,changedsubordinategroup,0x2ba8b38
86,ChangedTrueOwnerEvent,changedtrueowner,0x2ba9a18
87,ChangedZoneEvent,changedzone,0x2ba9a88
88,ChangeGeometryStateEvent,changegeometrystate,0x2baa038
89,ChangeMiningDroneModeEvent,changeminingdronemode,0x2ba8320
90,ChangeMovementEvent,changemovement,0x2baa000
91,ChangeRoomEvent,changeroom,0x2baa7a8
92,ChangeTransportDroneModeEvent,changetransportdronemode,0x2ba82e8
93,CharacterAnimationFinishedEvent,characteranimationfinished,0x2baa9a0
94,CharacterAnimationStartedEvent,characteranimationstarted,0x2baa9d8
95,ClaimedAsSalvageEvent,claimedassalvage,0x2baa540
96,ClaimedShipEvent,claimedship,0x2ba77c0
97,ClearCollidingObjectEvent,clearcollidingobject,0x2b8a3d8
98,ClusterAddedEvent,clusteradded,0x2ba7ad0
99,ClusterRemovedEvent,clusterremoved,0x2ba7b78
100,CockpitToggledEvent,cockpittoggled,0x2baf458
101,CockpitViewActivatedEvent,cockpitviewactivated,0x2baf538
102,CollectedAmmoEvent,collectedammo,0x2ba9d98
103,CollectedBlueprintEvent,collectedblueprint,0x2baa2a0
104,CollectedDataEvent,collecteddata,0x2baa188
105,CollectedPowerUpEvent,collectedpowerup,0x2ac1668
106,CollectedResourceEvent,collectedresource,0x2baa310
107,CollectedWareEvent,collectedware,0x2baa230
108,CollectWareFailedEvent,collectwarefailed,0x2baa2d8
109,CollisionEvent,collision,0x2ba5e98
110,CommanderSetEvent,commanderset,0x2ba9190
111,ComponentDismantledEvent,componentdismantled,0x2baa4d0
112,ConstructionSequenceGeneratedEvent,constructionsequencegenerated,0x2ba68e0
113,ControlEntityAddedEvent,controlentityadded,0x2ba8fd0
114,ControlEntityRemovedEvent,controlentityremoved,0x2ba8f98
115,ControlStartedEvent,controlstarted,0x2ba9040
116,ControlStoppedEvent,controlstopped,0x2ba9008
117,ConversationFinishedEvent,conversationfinished,0x2ba7e50
118,ConversationNextSectionEvent,conversationnextsection,0x2ba7e18
119,ConversationReturnedToSectionEvent,conversationreturnedtosection,0x2ba7e88
120,ConversationStartedEvent,conversationstarted,0x2ba7f30
121,CooldownFinishedEvent,cooldownfinished,0x2b8a4f0
122,CountermeasureLaunchedEvent,countermeasurelaunched,0x2ba8e48
123,CrateEnteredEvent,crateentered,0x2ba9900
124,CrateLeftEvent,crateleft,0x2ba98c8
125,CrateOpenedEvent,crateopened,0x2ba9970
126,CutsceneCameraCreatedEvent,cutscenecameracreated,0x2c6d888
127,CutsceneReadyEvent,cutsceneready,0x2c6d7e0
128,CutsceneSignalEvent,cutscenesignal,0x2c6d818
129,CutsceneStartedEvent,cutscenestarted,0x2c6d7a8
130,CutsceneStoppedEvent,cutscenestopped,0x2c6d850
131,CycledActiveWeaponAmmoEvent,cycledactiveweaponammo,0x2ae9620
132,DamageEvent,damage,0x2ba9f58
133,DataVaultUnlockedEvent,datavaultunlocked,0x2ba5bf8
134,DeactivateEvent,deactivate,0x2ac1588
135,DecayHullEvent,decayhull,0x2ae9578
136,DeployableFinishedLaunchingEvent,deployablefinishedlaunching,0x2ae95e8
137,DestructibleChangedStateEvent,destructiblechangedstate,0x2ba89b0
138,DestructibleRepairedEvent,destructiblerepaired,0x2ba6678
139,DetachedFromMassTrafficEvent,detachedfrommasstraffic,0x2b8a560
140,DetachShipFromDockEvent,detachshipfromdock,0x2ba9cb8
141,DiplomacyActionOperationAbortedEvent,diplomacyactionoperationaborted,0x2ba7a60
142,DiplomacyActionOperationCompletedEvent,diplomacyactionoperationcompleted,0x2ba7948
143,DiplomacyActionOperationCreatedEvent,diplomacyactionoperationcreated,0x2ba79f0
144,DiplomacyActionOperationStartedEvent,diplomacyactionoperationstarted,0x2ba7a98
145,DiplomacyEventOperationAbortedEvent,diplomacyeventoperationaborted,0x2ba7980
146,DiplomacyEventOperationCompletedEvent,diplomacyeventoperationcompleted,0x2ba7868
147,DiplomacyEventOperationCreatedEvent,diplomacyeventoperationcreated,0x2ba7910
148,DiplomacyEventOperationOptionChosenEvent,diplomacyeventoperationoptionchosen,0x2ba7830
149,DiplomacyEventOperationStartedEvent,diplomacyeventoperationstarted,0x2ba79b8
150,DismantledEvent,dismantled,0x2baa658
151,DismantledComponentEvent,dismantledcomponent,0x2baa578
152,DismantlingFailedEvent,dismantlingfailed,0x2baa508
153,DismantlingFinishedEvent,dismantlingfinished,0x2baa620
154,DistressDroneLaunchedEvent,distressdronelaunched,0x2ba8ba8
